HCPID,ParamID.m1,ans.m1,bll.m1,lf.m1,PSwitch.LL.m1,PSwitch.mean_Punishment_MostlyPunishment.m1,PSwitch.mean_Reward_MostlyPunishment.m1,PSwitch.mean_Punishment_MostlyReward.m1,PSwitch.mean_Reward_MostlyReward.m1,PSwitch.sd_Punishment_MostlyPunishment.m1,PSwitch.sd_Reward_MostlyPunishment.m1,PSwitch.sd_Punishment_MostlyReward.m1,PSwitch.sd_Reward_MostlyReward.m1,ParamID.m2,ans.m2,bll.m2,lf.m2,PSwitch.LL.m2,PSwitch.mean_Punishment_MostlyPunishment.m2,PSwitch.mean_Reward_MostlyPunishment.m2,PSwitch.mean_Punishment_MostlyReward.m2,PSwitch.mean_Reward_MostlyReward.m2,PSwitch.sd_Punishment_MostlyPunishment.m2,PSwitch.sd_Reward_MostlyPunishment.m2,PSwitch.sd_Punishment_MostlyReward.m2,PSwitch.sd_Reward_MostlyReward.m2,Punishment_MostlyPunishment.subj,Reward_MostlyPunishment.subj,Punishment_MostlyReward.subj,Reward_MostlyReward.subj,best_model,maxLL_diff
165234_fnca,107,0.45,0.3,0.1,-4.3077852395415,0.438,0.44,0.436,0.419,0.183380946198266,0.235606035749581,0.237984736262386,0.175222890127089,81,0.35,0.3,0.1,-3.83192671626907,0.3,0.316,0.288,0.308,0.210441712323661,0.291624583941724,0.259229627936314,0.233290569453457,0.5,0.6,0.6,0.5,m2,0.4758585232724304
165032_fnca,110,0.45,0.45,0.1,-7.31362435797926,0.399,0.38,0.436,0.356,0.194435341542674,0.249897938350513,0.306900236399454,0.186984665965213,21,0.1,0.55,0.1,-6.05290479647435,0.176,0.184,0.164,0.145,0.263074444340962,0.290923932831037,0.293299317755631,0.219286877614411,0.611111111111111,0,1,0.473684210526316,m2,1.26071956150491
164939_fnca,87,0.35,0.6,0.1,-5.97649397038814,0.362,0.388,0.4,0.347,0.232238441859979,0.278215890330968,0.296922995583236,0.217455132599526,31,0.15,0.4,0.1,-5.46302609455497,0.154,0.152,0.136,0.14,0.24945655218609,0.257333262838805,0.230137492178312,0.230571605593842,0.75,0.2,0.4,0.6,m2,0.5134678758331699
164131_fnca,72,0.3,0.5,0.1,-13.9669988604456,0.297,0.308,0.344,0.286,0.248548849549228,0.289150762173137,0.333295235918119,0.240119018107985,41,0.2,0.25,0.1,-21.467689682998,0.21,0.188,0.184,0.211,0.270864074655122,0.275266105017361,0.255039012621959,0.265785320766016,0.947368421052632,0.6,1,1,m1,7.5006908225524
164030_fnca,117,0.45,0.8,0.1,-5.3311964147952,0.407,0.444,0.396,0.415,0.168125924623814,0.240034011195523,0.269512030703413,0.203853188469005,102,0.4,0.7,0.1,-7.93253478055762,0.371,0.328,0.36,0.341,0.205806031128778,0.241627137278468,0.255550625999976,0.204213273869476,0.3,0.6,0.2,0.7,m1,2.6013383657624196
163836_fnca,89,0.35,0.7,0.1,-5.26386745786117,0.371,0.324,0.352,0.344,0.231033613598205,0.258377986046547,0.240950498769234,0.232694947894255,52,0.2,0.8,0.1,-7.11989637518559,0.222,0.2,0.224,0.209,0.266527174400431,0.285714285714286,0.266925044894324,0.240257090192475,0.75,0.4,0.2,0.35,m1,1.8560289173244202
163432_fnca,73,0.3,0.55,0.1,-3.71658961004537,0.311,0.26,0.324,0.279,0.235018453465654,0.265729646253404,0.304764880937849,0.230148576678064,94,0.4,0.3,0.1,-3.89170954412472,0.374,0.356,0.38,0.361,0.207570986136585,0.262763958638135,0.249897938350513,0.186615943059755,0.3,0.25,0.4,0.25,m1,0.1751199340793499
163331_fnca,130,0.5,0.8,0.1,-6.31258830348907,0.435,0.436,0.472,0.426,0.173572898288898,0.237984736262386,0.287877524978514,0.176195624120418,41,0.2,0.25,0.1,-5.98241170105138,0.174,0.176,0.172,0.192,0.237598529508265,0.260736789635425,0.232150549323107,0.241669364282387,0.65,0.4,0.8,0.7,m2,0.33017660243768976
163129_fnca,88,0.35,0.65,0.1,-4.47112410747306,0.302,0.316,0.336,0.271,0.238396000514322,0.274315474575965,0.314129831471651,0.213830468801233,104,0.4,0.8,0.1,-5.25566897805318,0.332,0.332,0.38,0.348,0.182879462923489,0.234250868488796,0.289263667590237,0.18515299795861,0.45,0.2,0.6,0.15,m1,0.7845448705801195
162733_fnca,108,0.45,0.35,0.1,-5.8904526654524,0.401,0.376,0.484,0.363,0.200124960961895,0.244582109246088,0.294410514452878,0.192939136009472,22,0.1,0.6,0.1,-7.49138171070298,0.131,0.152,0.132,0.138,0.230104235475303,0.278655664919694,0.26064284735544,0.242343995685674,0.7,0.4,0.8,0.166666666666667,m1,1.60092904525058
