"","HCPID","ParamID.m1","ans.m1","bll.m1","lf.m1","PSwitch.LL.m1","PSwitch.mean_Punishment.m1","PSwitch.mean_Reward.m1","PSwitch.sd_Punishment.m1","PSwitch.sd_Reward.m1","ParamID.m2","ans.m2","bll.m2","lf.m2","PSwitch.LL.m2","PSwitch.mean_Punishment.m2","PSwitch.mean_Reward.m2","PSwitch.sd_Punishment.m2","PSwitch.sd_Reward.m2","Punishment.subj","Reward.subj","best_model","maxLL_diff"
"30","168341_fnca",120,0.5,0.3,0.1,-4.26510824867235,0.4224,0.4464,0.130095098654321,0.13579336042198,73,0.3,0.55,0.1,-7.16371754745284,0.2568,0.232,0.244059544424081,0.231974664344965,0.35,0.475,"m1",2.89860929878049
"31","168139_fnca",81,0.35,0.3,0.1,-4.75166652084578,0.2768,0.3064,0.201519128580077,0.217084202604446,84,0.35,0.45,0.1,-10.5867381428935,0.28,0.2832,0.232115382989599,0.234611620012518,0.075,0.475,"m1",5.83507162204771
"32","167743_fnca",115,0.45,0.7,0.1,-4.15922622910276,0.4248,0.3752,0.161197559104425,0.15137788909257,12,0.05,0.75,0.1,-4.58593194632976,0.108,0.1088,0.209528138483418,0.211820486184285,0.536842105263158,0.231578947368421,"m1",0.426705717227
"33","167036_fnca",122,0.5,0.4,0.1,-4.46432939208847,0.44,0.38,0.15690891677424,0.148406501865378,103,0.4,0.75,0.1,-6.67691827635668,0.4016,0.396,0.171801499126291,0.165072649436049,0.55,0.35,"m1",2.2125888842682
"34","166438_fnca",93,0.4,0.25,0.1,-3.87881359307708,0.344,0.2864,0.205396580064131,0.185227493881972,94,0.4,0.3,0.1,-4.89756441410122,0.3328,0.3176,0.223579780765943,0.202742019647167,0.375,0.278947368421053,"m1",1.01875082102414
"35","165840_fnca",121,0.5,0.35,0.1,-4.9640914915601,0.4448,0.4176,0.141280441906536,0.156734013603966,71,0.3,0.45,0.1,-7.88445581432707,0.3152,0.3056,0.228805594337201,0.230953303876408,0.5,0.675,"m1",2.92036432276697
"36","165234_fnca",106,0.45,0.25,0.1,-4.11387339170636,0.4496,0.4096,0.164341108673393,0.17210533082377,51,0.2,0.75,0.1,-4.25243893006141,0.1752,0.1608,0.244032784682714,0.231480064818038,0.55,0.55,"m1",0.138565538355042
"37","165032_fnca",111,0.45,0.5,0.1,-6.55334763276291,0.4448,0.3992,0.166528051200795,0.161319052609089,82,0.35,0.35,0.1,-17.3503102000741,0.3448,0.3344,0.218774322262995,0.222308482124479,0.805555555555556,0.236842105263158,"m1",10.7969625673112
"38","164939_fnca",109,0.45,0.4,0.1,-4.92014045927225,0.4344,0.4032,0.157741198531917,0.164197989000587,62,0.25,0.65,0.1,-8.69996258651069,0.1952,0.176,0.24252279505739,0.232256016376018,0.575,0.4,"m1",3.77982212723844
"39","164131_fnca",109,0.45,0.4,0.1,-9.78777861477952,0.448,0.4216,0.175754931419768,0.179833937002889,91,0.35,0.8,0.1,-28.2350307359291,0.296,0.2656,0.23546740317756,0.209918934790727,0.973684210526316,0.8,"m1",18.4472521211496
"40","164030_fnca",117,0.45,0.8,0.1,-4.7950495749527,0.4056,0.4096,0.165222916827231,0.183491755917796,103,0.4,0.75,0.1,-10.9016715902327,0.356,0.316,0.201747467930397,0.186613209060662,0.25,0.65,"m1",6.10662201527996
"41","163836_fnca",111,0.45,0.5,0.1,-4.63100392961736,0.4616,0.408,0.165657133001527,0.172945668004818,93,0.4,0.25,0.1,-8.78342187719222,0.3528,0.3576,0.177177876722801,0.178412043155324,0.475,0.375,"m1",4.15241794757486
"42","163432_fnca",73,0.3,0.55,0.1,-3.7268361081232,0.3208,0.2752,0.23302658164918,0.228519994212984,94,0.4,0.3,0.1,-3.81943255618959,0.3704,0.3544,0.192734987768708,0.183393855192722,0.35,0.25,"m1",0.0925964480663923
"43","163331_fnca",122,0.5,0.4,0.1,-5.14322905838583,0.4632,0.4384,0.130578618120288,0.131542807496577,11,0.05,0.7,0.1,-8.39733404825209,0.1632,0.1784,0.235306487069827,0.257486754166945,0.725,0.55,"m1",3.25410498986626
"44","163129_fnca",102,0.4,0.7,0.1,-4.25719798512816,0.3608,0.2824,0.210032456189659,0.192327951209195,12,0.05,0.75,0.1,-5.52526350781869,0.1488,0.1472,0.239596940459495,0.230908056620476,0.525,0.175,"m1",1.26806552269053
"45","162733_fnca",123,0.5,0.45,0.1,-5.29888417787051,0.44,0.4224,0.139034572121102,0.163264653059918,11,0.05,0.7,0.1,-9.31632875870805,0.0856,0.08,0.195125914345019,0.18410289935528,0.75,0.283333333333333,"m1",4.01744458083754
"46","162329_fnca",110,0.45,0.45,0.1,-5.43697287101774,0.4432,0.4184,0.156667332463486,0.174862745008297,61,0.25,0.6,0.1,-12.4032542670541,0.2824,0.2792,0.259281267179494,0.252270020544071,0.45,0.675,"m1",6.96628139603635
"47","162228_fnca",130,0.5,0.8,0.1,-4.12395406765796,0.4592,0.4256,0.152955108793798,0.122493814920908,61,0.25,0.6,0.1,-4.46679028010203,0.14,0.1352,0.206229513515641,0.184968171558774,0.55,0.575,"m1",0.34283621244407
"48","162026_fnca",118,0.5,0.2,0.1,-5.29265641347035,0.444,0.4504,0.126555626230572,0.130508581311416,82,0.35,0.35,0.1,-12.4893878249608,0.3208,0.2984,0.205950657851311,0.193647691882523,0.325,0.75,"m1",7.19673141149042
"49","161731_fnca",116,0.45,0.75,0.1,-4.43754079948536,0.4016,0.4128,0.179242852019265,0.189597210002722,71,0.3,0.45,0.1,-6.73363656201693,0.2824,0.2496,0.234830029717545,0.225197962799355,0.4,0.65,"m1",2.29609576253158
"50","161630_fnca",119,0.5,0.25,0.1,-4.23932965507089,0.432,0.4272,0.124932634909003,0.160497186700501,91,0.35,0.8,0.1,-5.5666924175478,0.2736,0.2752,0.191468652520352,0.210676655235516,0.463157894736842,0.6,"m1",1.32736276247691
"51","161327_fnca",122,0.5,0.4,0.1,-4.93938752004178,0.4528,0.432,0.158243418794706,0.142971382893678,51,0.2,0.75,0.1,-6.82980428594383,0.2504,0.2328,0.265429647852654,0.257166982995207,0.642105263157895,0.65,"m1",1.89041676590204
"52","160830_fnca",106,0.45,0.25,0.1,-4.27745634748139,0.3728,0.3152,0.15595708462554,0.170020887072196,84,0.35,0.45,0.1,-6.20011347630304,0.3472,0.2976,0.239105817237337,0.223392762932491,0.377777777777778,0.283333333333333,"m1",1.92265712882164
"53","160123_fnca",105,0.45,0.2,0.1,-4.13676003187284,0.3656,0.3976,0.170091931925422,0.174526297650035,103,0.4,0.75,0.1,-6.83813923715137,0.34,0.3272,0.194327726550079,0.196074121761363,0.3,0.525,"m1",2.70137920527853
"54","159441_fnca",124,0.5,0.5,0.1,-6.64415290390805,0.44,0.432,0.168159302509282,0.138328210707545,91,0.35,0.8,0.1,-12.7219139885879,0.2888,0.256,0.224286988167447,0.202997939066647,0.7,0.825,"m1",6.07776108467988
"55","159340_fnca",73,0.3,0.55,0.1,-4.58005356504359,0.2512,0.22,0.217449407674427,0.222967005887162,84,0.35,0.45,0.1,-7.65686689682237,0.2808,0.2912,0.215708041536873,0.218945897706372,0.375,0.075,"m1",3.07681333177878
"56","159138_fnca",122,0.5,0.4,0.1,-4.70395780089183,0.3856,0.4016,0.155184682602007,0.152681608156935,81,0.35,0.3,0.1,-9.16038463006812,0.2992,0.2904,0.225875530109042,0.204729388337336,0.325,0.642105263157895,"m1",4.45642682917629
"57","158540_fnca",125,0.5,0.55,0.1,-4.89833409615726,0.4248,0.3832,0.136160769320832,0.147266799395117,12,0.05,0.75,0.1,-8.15952709567473,0.1584,0.1544,0.249074695787494,0.247503123047705,0.622222222222222,0.225,"m1",3.26119299951747
"58","158136_fnca",102,0.4,0.7,0.1,-3.77346710956127,0.3448,0.2896,0.212873824849657,0.184202195914142,104,0.4,0.8,0.1,-4.19190651333382,0.3432,0.3104,0.202529312567291,0.197876069234029,0.375,0.275,"m1",0.418439403772552
"59","158035_fnca",85,0.35,0.5,0.1,-3.8706320910384,0.3056,0.28,0.22127792110228,0.222637254157465,84,0.35,0.45,0.1,-4.44306094104986,0.3424,0.332,0.219261841418065,0.2046400523368,0.3,0.275,"m1",0.572428850011461
"60","157437_fnca",82,0.35,0.35,0.1,-3.83983051830723,0.3728,0.336,0.206259594705709,0.204919098023327,83,0.35,0.4,0.1,-4.37201657378509,0.3232,0.2992,0.222026290041039,0.222085109627745,0.4,0.3,"m1",0.532186055477857
"61","157336_fnca",24,0.1,0.7,0.1,-3.84058635698682,0.0784,0.0784,0.18231347750957,0.184450203445321,99,0.4,0.55,0.1,-8.71916336080422,0.4144,0.3936,0.206784517637791,0.186106837870189,0,0,"m1",4.8785770038174
"62","156637_fnca",124,0.5,0.5,0.1,-3.98238720515458,0.38,0.4096,0.157168829022572,0.160521598775583,103,0.4,0.75,0.1,-5.86624673898654,0.34,0.344,0.203840674076994,0.207767531002261,0.375,0.45,"m1",1.88385953383196
"63","156233_fnca",122,0.5,0.4,0.1,-5.45219431757818,0.4376,0.3896,0.151058307434242,0.160775670816609,93,0.4,0.25,0.1,-10.271330831186,0.3552,0.3208,0.210831589624689,0.212043892260301,0.525,0.25,"m1",4.81913651360787
"64","155635_fnca",121,0.5,0.35,0.1,-3.98045604932879,0.4152,0.4456,0.160385250479676,0.148573626357371,81,0.35,0.3,0.1,-5.14139507706237,0.3288,0.3168,0.201429989863294,0.224948429464105,0.410526315789474,0.6,"m1",1.16093902773358
