"","HCPID","ParamID.m1","ans.m1","bll.m1","lf.m1","PSwitch.LL.m1","PSwitch.mean_MostlyPunishment.m1","PSwitch.mean_MostlyReward.m1","PSwitch.sd_MostlyPunishment.m1","PSwitch.sd_MostlyReward.m1","ParamID.m2","ans.m2","bll.m2","lf.m2","PSwitch.LL.m2","PSwitch.mean_MostlyPunishment.m2","PSwitch.mean_MostlyReward.m2","PSwitch.sd_MostlyPunishment.m2","PSwitch.sd_MostlyReward.m2","MostlyPunishment.subj","MostlyReward.subj","best_model","maxLL_diff"
"47","162228_fnca",130,0.5,0.8,0.1,-4.12437332837134,0.451428571428571,0.428571428571429,0.14659114206565,0.126834723414858,31,0.15,0.4,0.1,-4.28131042460834,0.138571428571429,0.148571428571429,0.224679882416478,0.244297733835549,0.55,0.575,"m1",0.156937096237002
"48","162026_fnca",118,0.5,0.2,0.1,-5.28788098213376,0.453571428571429,0.455,0.122714423171487,0.135143421124446,62,0.25,0.65,0.1,-12.1601258805995,0.285714285714286,0.274285714285714,0.252641191900815,0.254840682442459,0.625,0.45,"m1",6.87224489846577
"49","161731_fnca",128,0.5,0.7,0.1,-4.39370929235915,0.425714285714286,0.422142857142857,0.150287798320528,0.172519910542313,101,0.4,0.65,0.1,-6.65559011071136,0.375,0.37,0.187495661479724,0.202257150723385,0.5,0.55,"m1",2.26188081835221
"50","161630_fnca",119,0.5,0.25,0.1,-4.22515674846648,0.447857142857143,0.427857142857143,0.119263409866332,0.150400340394131,31,0.15,0.4,0.1,-6.04666745414833,0.162142857142857,0.164285714285714,0.245238920809653,0.255102040816327,0.513157894736842,0.55,"m1",1.82151070568185
"51","161327_fnca",122,0.5,0.4,0.1,-4.9344420045927,0.45,0.431428571428571,0.161984774146812,0.13495645401931,61,0.25,0.6,0.1,-7.05588258812544,0.204285714285714,0.19,0.224030141662183,0.227535004469771,0.717105263157895,0.575,"m1",2.12144058353275
"52","160830_fnca",106,0.45,0.25,0.1,-4.07336085005347,0.380714285714286,0.300714285714286,0.157025201117281,0.177487966753685,104,0.4,0.8,0.1,-6.61927214785482,0.375714285714286,0.361428571428571,0.194980749591774,0.196098981373251,0.477777777777778,0.183333333333333,"m1",2.54591129780135
"53","160123_fnca",125,0.5,0.55,0.1,-4.16276485997231,0.418571428571429,0.395,0.15841651877064,0.17427932168174,73,0.3,0.55,0.1,-6.73343039741013,0.260714285714286,0.25,0.241391780452727,0.223792981627156,0.5,0.325,"m1",2.57066553743782
"54","159441_fnca",124,0.5,0.5,0.1,-6.67965212127418,0.441428571428571,0.442857142857143,0.15437531142104,0.141023213888625,31,0.15,0.4,0.1,-13.9438867151411,0.135,0.121428571428571,0.236273521600664,0.211719325727004,0.7,0.825,"m1",7.26423459386688
"55","159340_fnca",73,0.3,0.55,0.1,-4.7139116207414,0.252142857142857,0.214285714285714,0.22044241041567,0.213677465218081,84,0.35,0.45,0.1,-9.38406436518722,0.279285714285714,0.305714285714286,0.217862519648795,0.226700616480642,0.275,0.175,"m1",4.67015274444582
"56","159138_fnca",124,0.5,0.5,0.1,-4.61564958051669,0.444285714285714,0.416428571428571,0.166135485623954,0.171751699838268,82,0.35,0.35,0.1,-9.49561335846732,0.242857142857143,0.269285714285714,0.198127426928037,0.217086890516568,0.525,0.442105263157895,"m1",4.87996377795063
"57","158540_fnca",128,0.5,0.7,0.1,-5.11664649479046,0.392857142857143,0.410714285714286,0.161663056303621,0.176038892847818,104,0.4,0.8,0.1,-12.4487814198315,0.348571428571429,0.353571428571429,0.182473403834747,0.181284061269795,0.322222222222222,0.525,"m1",7.33213492504106
"58","158136_fnca",70,0.3,0.4,0.1,-3.81177195324364,0.286428571428571,0.312142857142857,0.225472108703971,0.238086613060494,104,0.4,0.8,0.1,-4.66437247159799,0.341428571428571,0.300714285714286,0.202179915011735,0.193082418908252,0.275,0.375,"m1",0.852600518354349
"59","158035_fnca",73,0.3,0.55,0.1,-3.85973746615202,0.271428571428571,0.281428571428571,0.219802645189163,0.2329840109416,84,0.35,0.45,0.1,-4.12481553298458,0.332857142857143,0.330714285714286,0.207301135869885,0.205582491390554,0.2,0.375,"m1",0.265078066832552
"60","157437_fnca",108,0.45,0.35,0.1,-3.86604775966052,0.337142857142857,0.349285714285714,0.186508729123198,0.183572818227091,83,0.35,0.4,0.1,-4.8578469524334,0.320714285714286,0.300714285714286,0.217120462632216,0.211484361483349,0.3,0.4,"m1",0.991799192772886
