TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,alpha,egs,r
Reward,MostlyPunishment,j,645,0,8,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,9,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,2,10,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,3,11,3,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,f,645,4,12,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,5,13,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,6,14,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,15,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,16,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,17,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,2,18,3,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,3,19,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,4,20,3,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,5,21,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,22,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,7,23,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,24,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,1,25,3,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,26,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,27,3,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,4,28,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,5,29,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,6,30,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,7,31,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,32,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,33,3,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,2,34,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,3,35,3,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,4,36,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,5,37,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,38,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,7,39,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,40,3,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,1,41,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,2,42,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,43,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,4,44,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,5,45,3,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,6,46,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,7,47,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,48,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,49,3,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,2,50,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,3,51,3,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,4,52,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,5,53,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,54,3,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,55,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,56,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,57,3,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,58,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,59,3,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,4,60,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,61,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,6,62,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,63,3,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,0,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,1,4,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,2,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,3,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,4,4,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,5,4,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,f,645,6,6,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,7,7,4,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,0,8,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,9,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,2,10,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,3,11,4,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,4,12,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,5,13,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,14,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,15,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,0,16,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,17,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,2,18,4,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,f,645,3,19,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,4,20,4,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,f,645,5,21,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,6,22,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,23,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,0,24,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,25,4,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,2,26,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,27,4,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,4,28,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,29,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,6,30,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,31,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,0,32,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,33,4,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,2,34,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,3,35,4,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,4,36,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,5,37,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,6,38,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,7,39,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,0,40,4,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,j,645,1,41,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,2,42,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,43,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,4,44,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,45,4,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,j,645,6,46,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,47,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,0,48,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,49,4,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,2,50,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,3,51,4,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,j,645,4,52,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,5,53,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,54,4,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,7,55,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,56,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,1,57,4,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,58,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,59,4,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,j,645,4,60,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,61,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,6,62,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,63,4,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,0,0,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,1,1,5,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,2,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,3,3,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,4,4,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,5,5,5,0.401534,1.2984301,0.688704535
Neutral,MostlyReward,j,645,6,6,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,j,645,7,7,5,0.401534,1.2984301,0.688704535
Reward,MostlyPunishment,f,645,0,8,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,1,9,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,2,10,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,3,11,5,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,4,12,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,5,13,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,14,5,0.401534,1.2984301,0.688704535
