,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
140,101006_fnca,13,1,Punishment,13,5,2.0,0,390,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
141,101006_fnca,14,1,Neutral,14,5,3.0,0,614,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
142,101006_fnca,15,1,Punishment,15,5,3.0,0,803,13,2,2,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
143,101006_fnca,16,1,Punishment,16,5,3.0,0,359,13,3,3,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
144,101006_fnca,17,1,Punishment,17,5,2.0,0,663,13,1,0,1,0,,3.0,,Punishment,MostlyPunishment,MostlyPunishment
145,101006_fnca,19,1,Punishment,18,5,3.0,0,549,13,1,1,0,0,2.0,,1.0,,MostlyPunishment,MostlyPunishment
146,101006_fnca,20,1,Punishment,19,5,2.0,0,684,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
147,101006_fnca,21,1,Punishment,20,5,2.0,0,342,14,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
148,101006_fnca,22,1,Neutral,21,5,3.0,0,436,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
149,101006_fnca,23,1,Punishment,22,5,3.0,0,504,14,2,2,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
150,101006_fnca,24,1,Neutral,23,5,2.0,0,627,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
151,101006_fnca,25,1,Punishment,24,5,2.0,0,459,13,2,0,2,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
152,101006_fnca,26,1,Punishment,25,5,3.0,0,604,13,1,1,0,0,,2.0,,Punishment,MostlyPunishment,MostlyPunishment
153,101006_fnca,28,1,Reward,26,5,3.0,0,539,13,2,2,0,0,3.0,,0.0,,MostlyReward,MostlyReward
154,101006_fnca,29,1,Reward,27,5,3.0,0,698,13,3,3,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
155,101006_fnca,30,1,Punishment,28,5,2.0,0,436,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
156,101006_fnca,31,1,Reward,29,5,3.0,0,361,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
157,101006_fnca,32,1,Punishment,30,5,3.0,0,444,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
158,101006_fnca,33,1,Reward,31,5,3.0,0,433,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
159,101006_fnca,34,1,Reward,32,5,3.0,0,771,13,4,4,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
160,101006_fnca,35,1,Reward,32,5,2.0,0,338,13,1,0,1,0,,3.0,,Reward,MostlyReward,MostlyReward
161,101006_fnca,1,2,Punishment,2,5,3.0,0,802,27,1,1,0,0,3.0,,0.0,,,MostlyPunishment
162,101006_fnca,2,2,Punishment,3,5,3.0,0,356,13,2,2,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
163,101006_fnca,3,2,Reward,4,5,3.0,0,431,13,3,3,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
164,101006_fnca,4,2,Punishment,5,5,3.0,0,395,13,4,4,0,0,2.0,3.0,1.0,Reward,,MostlyPunishment
